Transaction ID,Region,Segment,Product Category,Product,Sales,Quantity,Discount,Profit,Transaction Date
2147b951-fb45-472b-8acb-2b934b72abc7,North,Enterprise,Office Supplies,Envelopes,28236.82,12,0.53,3469.13,2026-05-13
28b32761-d388-4ba7-8bfe-f83d2defa204,West,Enterprise,Clothing,Hat,34642.95,7,0.15,3893.03,2026-05-13
59ef9f6d-1364-4adf-acc2-0662209b84a6,West,Small Business,Office Supplies,Paper,48978.99,15,0.56,2207.26,2026-05-13
457c8c71-8984-44b1-9bdc-639cc6591f35,North,Consumer,Office Supplies,Pens,13474.75,19,0.44,1144.94,2026-05-13
c7aa2e97-3276-4af7-b0c5-314192679597,West,Small Business,Technology,Printer,27649.66,6,0.52,2932.46,2026-05-13
f6b52d29-c25b-41c4-bf36-f2e142870462,South,Freelancer,Furniture,Filing Cabinet,7195.41,12,0.01,1886.42,2026-05-13
e8f8d2b1-fc9b-4320-857f-7c1d06739b97,North,Freelancer,Clothing,Hat,24429.02,14,0.22,4590.46,2026-05-13
21485819-de92-4d8e-8758-3cbf33679690,West,Freelancer,Office Supplies,Binders,15008.02,16,0.2,2510.46,2026-05-13
a6dea3aa-3938-4c23-976e-84d8c1b2d965,East,Freelancer,Office Supplies,Paper,40596.41,1,0.32,3809.8,2026-05-13
1ede23c8-3aaa-4371-b72a-8d7536024d30,West,Consumer,Technology,Tablet,47872.74,16,0.01,12107.65,2026-05-13
8c95b576-f8d8-40fc-9497-c529558618b7,North,Freelancer,Furniture,Chair,4953.5,17,0.03,601.2,2026-05-13
bba38f87-a2bb-4c71-a171-e66b86df8c70,East,Consumer,Furniture,Desk,18985.1,6,0.04,5114.44,2026-05-13
4dba3c75-e9c3-4a20-ba45-e3d49d5a6905,West,Small Business,Office Supplies,Paper,46180.58,10,0.03,11864.71,2026-05-13
0e44679f-26b9-4c68-bae6-8e35fde0d921,North,Corporate,Technology,Laptop,4538.52,3,0.16,944.55,2026-05-13
b81e5592-a2f1-4de2-860c-7702b7ede625,West,Enterprise,Clothing,Hat,24678.41,18,0.28,3890.23,2026-05-13
a1896315-4489-4fa3-9678-d85efb1987ff,North,Corporate,Technology,Laptop,30418.69,12,0.24,5255.68,2026-05-13
a8920d04-0e93-466a-9bc5-fc56173786f4,South,Corporate,Technology,Smartwatch,28297.46,1,0.49,2913.73,2026-05-13
9f337749-1fe1-47ba-b103-8f5e3ca31af3,West,Corporate,Clothing,Shoes,28769.34,11,0.12,2782.64,2026-05-13
f411dc30-50f2-4378-a24f-b0e7f24a45e3,West,Consumer,Office Supplies,Pens,2004.66,4,0.15,461.11,2026-05-13
ab8ee5f8-5c42-4e34-a619-741790031bdd,East,Corporate,Technology,Tablet,47668.63,12,0.25,8482.14,2026-05-13
2c4b2660-de7c-44f5-b482-8f60605b31c0,North,Freelancer,Technology,Headphones,16891.47,4,0.29,2304.54,2026-05-13
b007ae6b-991a-48a9-b830-b8a73ea26a39,South,Enterprise,Office Supplies,Paper,5505.39,19,0.24,1015.53,2026-05-13
7c893bef-31b6-48a5-97fc-e4586e9221e3,East,Consumer,Furniture,Sofa,12916.11,18,0.08,1331.94,2026-05-13
b88e360c-57c6-417b-bb4d-30b185f24e60,East,Consumer,Office Supplies,Labels,39685.1,1,0.33,4622.43,2026-05-13
32783813-68ad-4233-9b63-50ce5546e7c0,South,Corporate,Furniture,Bookcase,41748.71,3,0.44,6281.22,2026-05-13
569ad936-c238-4b61-bfc2-547a73c1a3d3,East,Enterprise,Clothing,Pants,43959.06,8,0.01,7295.6,2026-05-13
db11d827-3142-485a-8f73-5360355fc3d3,North,Small Business,Clothing,Shoes,17260.58,6,0.1,1590.52,2026-05-13
6d6b1b2e-8780-4830-92b2-5cd9220b3932,West,Freelancer,Technology,Monitor,42809.83,5,0.14,8075.89,2026-05-13
b906ab04-b2a5-46e0-9de4-8e91a32a94ea,West,Enterprise,Office Supplies,Envelopes,16599.76,16,0.51,948.99,2026-05-13
9c838bc5-b863-43e3-b990-3cfc8ead223c,North,Small Business,Clothing,Shirt,790.42,15,0.22,109.22,2026-05-13
8a631ff0-90fb-45d8-8ab8-49bec7d3633e,North,Consumer,Furniture,Sofa,48690.83,13,0.33,7309.72,2026-05-13
8acf38a8-8a8b-4fdd-a8fd-8b0803110d47,South,Consumer,Technology,Headphones,18899.28,18,0.18,4510.62,2026-05-13
e044048e-ce87-48ce-8e62-b4542a072ae5,South,Corporate,Technology,Laptop,20302.56,2,0.08,2455.54,2026-05-13
7b7566b5-827d-4dae-a9ee-c18b153000f9,South,Freelancer,Technology,Tablet,10864.09,13,0.3,938.74,2026-05-13
3fd055f6-0ffe-4e00-a24f-db5bbfab6d20,West,Corporate,Furniture,Bookcase,2547.51,8,0.31,317.9,2026-05-13
854150ef-bdf9-48f3-b9c1-0a54ffdd854f,North,Freelancer,Furniture,Filing Cabinet,15314.36,13,0.18,2769.87,2026-05-13
ee48aab2-bca1-459f-9a06-cf1923609882,North,Freelancer,Clothing,Shirt,49202.73,2,0.11,11778.23,2026-05-13
7bbc9f7a-191c-4d85-9ff5-382d4f8e14ec,East,Freelancer,Technology,Printer,33500.28,19,0.02,6351.89,2026-05-13
3c7cf138-34a1-4814-bb7a-5fb025d4c9b9,North,Enterprise,Technology,Monitor,11132.65,7,0.28,2065.66,2026-05-13
5f102018-4505-4b8b-8264-6fb30034a361,South,Corporate,Office Supplies,Binders,39571.64,4,0.17,6188.02,2026-05-13
02268c84-6203-47ef-baec-58bf79e11508,North,Consumer,Furniture,Desk,13469.19,18,0.31,2342.8,2026-05-13
8f2b14c4-14bc-4826-a27a-ed6f5be810a8,North,Consumer,Clothing,Pants,26841.43,18,0.13,5634.65,2026-05-13
9723b418-ee78-4581-be7a-77556917f125,West,Small Business,Technology,Speaker,37747.64,15,0.1,5867.96,2026-05-13
0a539e4d-25e6-46de-affe-940a7368fb2c,West,Corporate,Office Supplies,Paper,12322.35,12,0.22,1822.7,2026-05-13
95ff6ef7-e023-494b-aff0-7e56345a4c41,West,Freelancer,Clothing,Shoes,18492.9,12,0.34,1252.49,2026-05-13
